year,district,population,week,weekly hospitalized
2022,Dhaka,10295786,46,2439
2022,Dhaka,10295786,47,1777
2022,Dhaka,10295786,48,1482
2022,Dhaka,10295786,49,990
2022,Dhaka,10295786,50,622
2022,Dhaka,10295786,51,407
2022,Dhaka,10295786,52,191
2023,Dhaka,10295786,1,164
2023,Dhaka,10295786,2,50
2023,Dhaka,10295786,3,43
2023,Dhaka,10295786,4,25
2023,Dhaka,10295786,5,30
2023,Dhaka,10295786,6,24
2023,Dhaka,10295786,7,18
2023,Dhaka,10295786,8,14
2023,Dhaka,10295786,9,13
2023,Dhaka,10295786,10,21
2023,Dhaka,10295786,11,15
2023,Dhaka,10295786,12,15
2023,Dhaka,10295786,13,18
2023,Dhaka,10295786,14,20
2023,Dhaka,10295786,15,19
2023,Dhaka,10295786,16,8
2023,Dhaka,10295786,17,37
2023,Dhaka,10295786,18,78
2023,Dhaka,10295786,19,118
2023,Dhaka,10295786,20,166
2023,Dhaka,10295786,21,247
2023,Dhaka,10295786,22,488
2023,Dhaka,10295786,23,669
2023,Dhaka,10295786,24,1312
2023,Dhaka,10295786,25,1791
2023,Dhaka,10295786,26,1928
2023,Dhaka,10295786,27,2321
2023,Dhaka,10295786,28,4590
2023,Dhaka,10295786,29,5860
2023,Dhaka,10295786,30,8076
2023,Dhaka,10295786,31,7595
2023,Dhaka,10295786,32,7366
2023,Dhaka,10295786,33,6146
2023,Dhaka,10295786,34,5983
2023,Dhaka,10295786,35,6240
2023,Dhaka,10295786,36,6619
2023,Dhaka,10295786,37,6396
2023,Dhaka,10295786,38,5964
2023,Dhaka,10295786,39,5290
2023,Dhaka,10295786,40,4484
2023,Dhaka,10295786,41,4092
2023,Dhaka,10295786,42,3760
2023,Dhaka,10295786,43,3076
2023,Dhaka,10295786,44,2885
2023,Dhaka,10295786,45,2698
2023,Dhaka,10295786,46,2216
2023,Dhaka,10295786,47,1684
2023,Dhaka,10295786,48,1335
2023,Dhaka,10295786,49,845
2023,Dhaka,10295786,50,566
2023,Dhaka,10295786,51,348
2023,Dhaka,10295786,52,204
2024,Dhaka,10295786,1,143
2024,Dhaka,10295786,2,104
2024,Dhaka,10295786,3,46
2024,Dhaka,10295786,4,39
2024,Dhaka,10295786,5,40
2024,Dhaka,10295786,6,28
2024,Dhaka,10295786,7,23
2024,Dhaka,10295786,8,26
2024,Dhaka,10295786,9,32
2024,Dhaka,10295786,10,20
2024,Dhaka,10295786,11,26
2024,Dhaka,10295786,12,27
2024,Dhaka,10295786,13,26
2024,Dhaka,10295786,14,24
2024,Dhaka,10295786,15,22
2024,Dhaka,10295786,16,58
2024,Dhaka,10295786,17,57
2024,Dhaka,10295786,18,39
2024,Dhaka,10295786,19,53
2024,Dhaka,10295786,20,62
2024,Dhaka,10295786,21,51
2024,Dhaka,10295786,22,50
2024,Dhaka,10295786,23,63
2024,Dhaka,10295786,24,74
2024,Dhaka,10295786,25,55
2024,Dhaka,10295786,26,117
2024,Dhaka,10295786,27,109
2024,Dhaka,10295786,28,237
2024,Dhaka,10295786,29,176
2024,Dhaka,10295786,30,352
2024,Dhaka,10295786,31,563
2024,Dhaka,10295786,32,336
2024,Dhaka,10295786,33,675
2024,Dhaka,10295786,34,740
2024,Dhaka,10295786,35,928
2024,Dhaka,10295786,36,1047
2024,Dhaka,10295786,37,1709
2024,Dhaka,10295786,38,1871
2024,Dhaka,10295786,39,2250
2024,Dhaka,10295786,40,2917
2024,Dhaka,10295786,41,2901
2024,Dhaka,10295786,42,2850
2024,Dhaka,10295786,43,2869
2024,Dhaka,10295786,44,650
2024,Dhaka,10295786,44,2297
2024,Dhaka,10295786,45,2444
2024,Dhaka,10295786,46,4178
2024,Dhaka,10295786,47,2506
2024,Dhaka,10295786,48,2059
2024,Dhaka,10295786,50,1256
2024,Dhaka,10295786,51,1418
2024,Dhaka,10295786,52,256
2024,Dhaka,10295786,52,26
